Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,4.7uF,
"C3, C4",0603,2,1uF,
D1,0603,1,LED,
IC1,LDK130PUR,1,LDK130PU-R,
IC2,SON50P300X200X100-9N-D,1,MCP73832T-2ACI_MC,
J1,UJCHGSMT1P6TR,1,UJC-H-G-SMT-1-P6-TR,
"JP1, JP2, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Small_Open,
R1,0603,1,56k,
R2,0603,1,1.5k,
"R3, R4",0603,2,5.1k,
R5,0603,1,88.7k,
R6,0603,1,100k,
R7,0603,1,124k,
R8,0603,1,316k,
"TP1, TP2, TP4, TP5",TestPoint_Pad_D1.0mm,4,TestPoint_Small,
TP3,Salt-8x8,1,TestPoint_Small,
